state_ut,16 to 18 Years - Male,16 to 18 Years - Female,16 to 18 Years - Transgender,16 to 18 Years - Total,18 to 30 Years - Male,18 to 30 Years - Female,18 to 30 Years - Transgender,18 to 30 Years - Total,30 to 50 Years - Male,30 to 50 Years - Female,30 to 50 Years - Transgender,30 to 50 Years - Total,50 Years & Above - Male,50 Years & Above - Female,50 Years & Above - Transgender,50 Years & Above - Total,Total - Male,Total - Female,Total - Transgender,Total - Total
Andhra Pradesh,0,0,0,0,2,0,0,2,8,0,0,8,0,0,0,0,10,0,0,10
Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,0,0,0,0,14,4,0,18,22,6,0,28,0,0,0,0,36,10,0,46
Bihar,0,0,0,0,36,13,0,49,37,5,0,42,4,1,0,5,77,19,0,96
Chhattisgarh,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,2,0,0,2
Goa,0,0,0,0,7,2,0,9,69,10,0,79,8,1,0,9,84,13,0,97
Gujarat,0,0,0,0,48,5,0,53,110,4,0,114,24,0,0,24,182,9,0,191
Haryana,0,0,0,0,48,1,0,49,38,1,0,39,2,2,0,4,88,4,0,92
Himachal Pradesh,0,0,0,0,31,3,0,34,62,11,0,73,15,1,0,16,108,15,0,123
Jharkhand,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,2,0,0,2
Karnataka,0,0,0,0,50,23,0,73,95,15,0,110,6,2,0,8,151,40,0,191
Kerala,0,0,0,0,32,3,0,35,43,4,0,47,1,0,0,1,76,7,0,83
Madhya Pradesh,0,0,0,0,8,0,0,8,9,0,0,9,1,0,0,1,18,0,0,18
Maharashtra,0,0,0,0,165,35,0,200,277,59,0,336,33,1,0,34,475,95,0,570
Manipur,0,0,0,0,9,0,0,9,10,0,0,10,4,1,0,5,23,1,0,24
Meghalaya,0,0,0,0,20,3,0,23,13,2,0,15,4,0,0,4,37,5,0,42
Mizoram,0,0,0,0,4,0,0,4,16,4,0,20,0,0,0,0,20,4,0,24
Nagaland,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
Odisha,0,0,0,0,2,0,0,2,7,0,0,7,0,0,0,0,9,0,0,9
Punjab,0,0,0,0,22,12,0,34,50,11,0,61,7,0,0,7,79,23,0,102
Rajasthan,0,0,0,0,26,7,0,33,18,4,0,22,3,1,0,4,47,12,0,59
Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,0,0,0,0,67,12,0,79,70,10,0,80,12,3,0,15,149,25,0,174
Telangana,0,0,0,0,12,4,0,16,9,2,0,11,2,0,0,2,23,6,0,29
Tripura,0,0,0,0,21,24,0,45,30,5,0,35,5,4,0,9,56,33,0,89
Uttar Pradesh,0,0,0,0,117,20,0,137,152,20,0,172,25,4,0,29,294,44,0,338
Uttarakhand,0,0,0,0,17,1,0,18,23,0,0,23,8,0,0,8,48,1,0,49
West Bengal,0,0,0,0,697,154,10,861,394,109,3,506,44,13,0,57,1135,276,13,1424
Total (States),0,0,0,0,1457,326,10,1793,1565,282,3,1850,208,34,0,242,3230,642,13,3885
Andaman And Nicobar Islands,0,0,0,0,14,0,0,14,67,0,0,67,16,0,0,16,97,0,0,97
Chandigarh,0,0,0,0,3,0,0,3,5,0,0,5,1,0,0,1,9,0,0,9
Dadra And Nagar Haveli And Daman And Diu,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
Delhi,0,0,0,0,145,51,0,196,364,65,2,431,39,6,0,45,548,122,2,672
Jammu And Kashmir,0,0,0,0,14,14,0,28,6,1,0,7,0,0,0,0,20,15,0,35
Ladakh,0,0,0,0,1,0,0,1,2,0,0,2,0,0,0,0,3,0,0,3
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,0,0,0,0,0,0,0,0,3,1,0,4,0,0,0,0,3,1,0,4
Total (Uts),0,0,0,0,177,65,0,242,448,67,2,517,56,6,0,62,681,138,2,821
Total (All India),0,0,0,0,1634,391,10,2035,2013,349,5,2367,264,40,0,304,3911,780,15,4706
