state_ut,2020,2021,2022,Mid-Year Projected Population (in Lakhs) (2022),Rate of Cognizable Crimes (SLL) (2022),Chargesheeting Rate (2022)
Andhra Pradesh,49108,42588,36737,530.3,69.3,96.4
Arunachal Pradesh,259,413,453,15.5,29.2,83.4
Assam,10051,13356,9622,354.9,27.1,47.4
Bihar,62814,96077,136756,1255.3,108.9,95.6
Chhattisgarh,37957,40114,47243,299.5,157.7,99.7
Goa,973,892,968,15.7,61.7,95.7
Gujarat,317770,458682,389503,709.3,549.1,99.8
Haryana,89119,93711,117414,299.7,391.8,96.8
Himachal Pradesh,5827,5792,5822,74.4,78.2,95.7
Jharkhand,12537,13081,15633,391.4,39.9,82.6
Karnataka,43730,47969,51281,674.1,76.1,75.8
Kerala,405625,382317,218978,356.8,613.7,99.1
Madhya Pradesh,144165,171852,190388,858.9,221.7,99.9
Maharashtra,144986,173582,182974,1257.4,145.5,97.7
Manipur,637,720,885,32.0,27.6,72.8
Meghalaya,873,756,711,33.3,21.4,72.9
Mizoram,502,729,546,12.3,44.4,97.6
Nagaland,489,445,584,22.2,26.3,96.1
Odisha,25697,30464,34776,460.8,75.5,95.6
Punjab,33005,27127,29887,306.0,97.7,94.5
Rajasthan,67099,70017,76714,804.4,95.4,93.9
Sikkim,171,196,270,6.8,39.5,98.2
Tamil Nadu,485981,433901,279543,767.1,364.4,82.0
Telangana,11619,12678,13981,379.5,36.8,85.5
Tripura,643,655,879,41.2,21.3,89.8
Uttar Pradesh,302815,250177,351888,2340.9,150.3,83.8
Uttarakhand,43520,19171,17640,115.6,152.6,93.7
West Bengal,24307,24323,24036,987.6,24.3,91.8
Total State(S),2322279,2411785,2236112,13403.0,166.8,92.8
Andaman And Nicobar Islands,2060,946,1129,4.0,280.8,99.4
Chandigarh,671,594,717,12.2,58.6,96.9
Dadra And Nagar Haveli And Daman And Diu,92,89,89,12.0,7.4,95.2
Delhi,16878,14485,19845,211.0,94.1,98.2
Jammu And Kashmir,3678,4228,4282,135.4,31.6,91.8
Ladakh,16,40,39,3.0,13.0,85.2
Lakshadweep,40,39,33,0.7,47.8,83.3
Puducherry,1215,744,1321,16.2,81.5,97.4
Total Ut (S),24650,21165,27455,394.5,69.6,96.9
Total All India,2346929,2432950,2263567,13797.5,164.1,92.9
