Sl. No.,Purpose,Victims Recovered Alive - Child Victims - M,Victims Recovered Alive - Child Victims - F,Victims Recovered Alive - Child Victims - Tr,Victims Recovered Alive - Child Victims - T,Victims Recovered Alive - Adult Victims - M,Victims Recovered Alive - Adult Victims - F,Victims Recovered Alive - Adult Victims - Tr,Victims Recovered Alive - Adult Victims - T,Victims Recovered Alive - Total Victims - M,Victims Recovered Alive - Total Victims - F,Victims Recovered Alive - Total Victims - Tr,Victims Recovered Alive - Total Victims - T,Purpose wise % Share of Victims
1,For Murder,19,8,0,27,105,9,0,114,124,17,0,141,0.1
2,For Ransom,56,23,0,79,321,30,0,351,377,53,0,430,0.4
3,For Revenge,61,70,0,131,345,93,0,438,406,163,0,569,0.5
4,For Marriage,77,16093,0,16170,386,15142,0,15528,463,31235,0,31698,27.3
5,For Illicit Intercourse,28,933,0,961,4,606,0,610,32,1539,0,1571,1.4
6,For Prostitution,0,20,0,20,0,18,0,18,0,38,0,38,0
7,For Adoption,14,8,0,22,2,6,0,8,16,14,0,30,0
8,For Begging,16,11,0,27,0,0,0,0,16,11,0,27,0
9,For Domestic Servitude,28,109,0,137,60,221,0,281,88,330,0,418,0.4
10,For Forced Labour/Slavery,24,57,0,81,209,8,0,217,233,65,0,298,0.3
11,For Recovery of Loans,5,5,0,10,71,7,0,78,76,12,0,88,0.1
12,Wrongful Confinement,164,578,0,742,193,293,0,486,357,871,0,1228,1.1
13,For Unlawful Activity,250,500,0,750,148,253,0,401,398,753,0,1151,1
13.1,Drug Pedling/Smuggling,0,0,0,0,23,1,0,24,23,1,0,24,0
13.2,Petty Crimes (Theft etc),5,2,0,7,4,1,0,5,9,3,0,12,0
13.3,Pornography purpose,1,51,0,52,0,11,0,11,1,62,0,63,0.1
13.4,Terrorist Activities/Child Soldiers,14,11,0,25,5,0,0,5,19,11,0,30,0
13.5,For Selling Body Parts,0,0,0,0,0,0,0,0,0,0,0,0,0
13.6,Others,230,436,0,666,116,240,0,356,346,676,0,1022,0.9
14,Deemed Kidnapped,8970,32805,0,41775,1580,6586,0,8166,10550,39391,0,49941,43
14.1,Missing Deemed Kidnapped,6119,18531,0,24650,0,0,0,0,6119,18531,0,24650,21.2
14.2,Left Home by own will/Scolding by parents,2331,6123,0,8454,932,1285,0,2217,3263,7408,0,10671,9.2
14.3,Elopement/Love Relationship,520,8151,0,8671,648,5301,0,5949,1168,13452,0,14620,12.6
15,Family Disputes,682,1586,0,2268,737,1024,0,1761,1419,2610,0,4029,3.5
16,Land or Property/Civil Disputes,30,103,0,133,423,113,0,536,453,216,0,669,0.6
17,Other Motives/Purposes,2809,10604,0,13413,3067,7302,1,10370,5876,17906,1,23783,20.5
Total Recovered Alive,Total Recovered Alive,13233,63513,0,76746,7651,31711,1,39363,20884,95224,1,116109,100
Victims Group-wise % Share,Victims Group-wise % Share,11.4,54.7,0,66.1,6.59,27.31,0,33.9,17.99,82.01,0,100,100
